@RELATION LNCRNAsequence

@ATTRIBUTE	1	NUMERIC
@ATTRIBUTE	2	NUMERIC
@ATTRIBUTE	3	NUMERIC
@ATTRIBUTE	4	NUMERIC
@ATTRIBUTE	5	NUMERIC
@ATTRIBUTE class {+1,0.5}

@DATA
91.999772,22.740000,-1.350000,16.844444,0.901652,0.5
90.999773,22.590000,-1.350000,16.733333,0.905548,0.5
90.999773,22.290000,-1.320000,16.886364,0.893522,0.5
90.999773,22.170000,-1.320000,16.795455,0.888712,0.5
90.999773,21.840000,-1.260000,17.333333,0.875483,0.5
90.999773,21.660000,-1.230000,17.609756,0.868268,0.5
90.999773,21.510000,-1.230000,17.487805,0.862255,0.5
89.999776,21.390000,-1.260000,16.976190,0.866971,0.5
89.999776,21.330000,-1.140000,18.710526,0.864540,0.5
89.999776,21.000000,-1.260000,16.666667,0.851164,0.5
90.999773,20.910000,-1.260000,16.595238,0.838203,0.5
90.999773,20.760000,-1.200000,17.300000,0.832190,0.5
90.999773,20.610000,-1.170000,17.615385,0.826177,0.5
90.999773,20.520000,-1.170000,17.538462,0.822569,0.5
89.999776,20.370000,-1.140000,17.868421,0.825629,0.5
89.999776,20.310000,-1.200000,16.925000,0.823197,0.5
89.999776,19.950000,-1.170000,17.051282,0.808606,0.5
89.999776,20.010000,-1.170000,17.102564,0.811038,0.5
89.999776,19.920000,-1.170000,17.025641,0.807390,0.5
89.999776,19.860000,-1.170000,16.974359,0.804958,0.5
88.999779,19.710000,-1.140000,17.289474,0.807855,0.5
88.999779,-0.030000,-0.030000,-1.000000,-0.001230,0.5
88.999779,19.500000,-1.080000,18.055556,0.799247,0.5
88.999779,19.440000,-1.080000,18.000000,0.796788,0.5
88.999779,19.260000,-1.050000,18.342857,0.789410,0.5
88.999779,19.200000,-1.050000,18.285714,0.786951,0.5
88.999779,19.050000,-0.960000,19.843750,0.780803,0.5
87.999781,18.990000,-0.930000,20.419355,0.787189,0.5
87.999781,18.900000,-0.870000,21.724138,0.783458,0.5
87.999781,18.840000,-0.840000,22.428571,0.780971,0.5
87.999781,18.720000,-0.780000,24.000000,0.775996,0.5
87.999781,18.660000,-0.750000,24.880000,0.773509,0.5
87.999781,18.570000,-0.660000,28.136364,0.769778,0.5
87.999781,18.480000,-0.570000,32.421053,0.766048,0.5
86.999784,18.450000,-0.540000,34.166667,0.773595,0.5
86.999784,18.390000,-0.510000,36.058824,0.771079,0.5
86.999784,18.360000,-0.510000,36.000000,0.769821,0.5
85.999787,18.270000,-0.450000,40.600000,0.774955,0.5
85.999787,18.060000,-0.450000,40.133333,0.766048,0.5
85.999787,18.210000,-0.420000,43.357143,0.772410,0.5
85.999787,18.240000,-0.420000,43.428571,0.773683,0.5
85.999787,18.180000,-0.360000,50.500000,0.771138,0.5
85.999787,18.180000,-0.330000,55.090909,0.771138,0.5
85.999787,17.790000,-0.330000,53.909091,0.754595,0.5
84.999788,17.760000,-0.300000,59.200000,0.762185,0.5
84.999788,17.730000,-0.270000,65.666667,0.760898,0.5
84.999788,17.730000,-0.270000,65.666667,0.760898,0.5
84.999788,17.670000,-0.210000,84.142857,0.758323,0.5
84.999788,17.670000,-0.210000,84.142857,0.758323,0.5
84.999788,17.640000,-0.180000,98.000000,0.757035,0.5
84.999788,17.580000,-0.180000,97.666667,0.754460,0.5
